"_id","CustomerId","Address","Age","CellPhone","class_age"
"ObjectId(""6296b1edfc39a43814674aa8"")",1039,"Avenida Emancipación 1050",38,923048851,">=35|<45"
"ObjectId(""6296b1edfc39a43814674aa9"")",1040,"Avenida Manuel Vivanco 372",44,957283938,">=35|<45"
"ObjectId(""6296b1edfc39a43814674aaa"")",1041,"Avenida José de San Martín 1265",49,941848657,">=45|<50"
"ObjectId(""6296b1edfc39a43814674aab"")",1042,"Avenida Ariosto Matellini 560",47,974319287,">=45|<50"
"ObjectId(""6296b1edfc39a43814674aac"")",1043,"Avenida Salaverry 1255",46,957805464,">=45|<50"
"ObjectId(""6296b1edfc39a43814674aad"")",1044,"Avenida Abancay 1271",48,917401043,">=45|<50"
"ObjectId(""6296b1edfc39a43814674aae"")",1045,"Avenida Antúnez de Mayolo 365",46,974344126,">=45|<50"
"ObjectId(""6296b1edfc39a43814674aaf"")",1046,"Avenida Canta Callao 743",43,999884887,">=35|<45"
"ObjectId(""6296b1edfc39a43814674ab0"")",1047,"Avenida Metropolitana (Lima) 1210",38,919824665,">=35|<45"
"ObjectId(""6296b1edfc39a43814674ab1"")",1048,"Avenida Alejandro Tirado 620",44,990409515,">=35|<45"
"ObjectId(""6296b1edfc39a43814674ab2"")",1049,"Avenida Honorio Delgado 1043",47,970802470,">=45|<50"
"ObjectId(""6296b1edfc39a43814674ab3"")",1050,"Avenida Reducto 128",48,941974552,">=45|<50"
"ObjectId(""6296b1edfc39a43814674ab4"")",1051,"Avenida Húsares de Junín (Jesús María) 1120",45,931040646,">=45|<50"
"ObjectId(""6296b1edfc39a43814674ab5"")",1052,"Avenida Naranjal 902",46,991874832,">=45|<50"
"ObjectId(""6296b1edfc39a43814674ab6"")",1053,"Avenida Arica 901",32,992857971,">=20|<35"
"ObjectId(""6296b1edfc39a43814674ab7"")",1054,"Avenida Francisco Javier Mariátegui 976",46,952607963,">=45|<50"
"ObjectId(""6296b1edfc39a43814674ab8"")",1055,"Avenida Arequipa 1074",40,905181480,">=35|<45"
"ObjectId(""6296b1edfc39a43814674ab9"")",1056,"Avenida Juan de Aliaga 1258",48,995960339,">=45|<50"
"ObjectId(""6296b1edfc39a43814674aba"")",1057,"Avenida Nicolás Arriola 1016",43,916734557,">=35|<45"
"ObjectId(""6296b1edfc39a43814674abb"")",1058,"Avenida Juan Pardo de Zela 287",48,927994818,">=45|<50"
"ObjectId(""6296b1edfc39a43814674abc"")",1059,"Avenida Venezuela (Lima) 1109",49,915871630,">=45|<50"
"ObjectId(""6296b1edfc39a43814674abd"")",1060,"Avenida César Canevaro 1312",39,955152718,">=35|<45"
"ObjectId(""6296b1edfc39a43814674abe"")",1061,"Avenida Edgardo Rebagliati 866",48,964208202,">=45|<50"
"ObjectId(""6296b1edfc39a43814674abf"")",1062,"Avenida Nicolás Arriola 512",46,912764258,">=45|<50"
"ObjectId(""6296b1edfc39a43814674ac0"")",1063,"Avenida Caminos del Inca 201",44,952844629,">=35|<45"
"ObjectId(""6296b1edfc39a43814674ac1"")",1064,"Avenida México 386",38,908809873,">=35|<45"
"ObjectId(""6296b1edfc39a43814674ac2"")",1065,"Avenida Alipio Ponce 592",43,949545644,">=35|<45"
"ObjectId(""6296b1edfc39a43814674ac3"")",1066,"Avenida Juan de Arona 963",43,996383986,">=35|<45"
"ObjectId(""6296b1edfc39a43814674ac4"")",1067,"Avenida Juan Pardo de Zela 281",49,964423036,">=45|<50"
"ObjectId(""6296b1edfc39a43814674ac5"")",1068,"Avenida César Canevaro 812",48,947778861,">=45|<50"
"ObjectId(""6296b1edfc39a43814674ac6"")",1069,"Avenida de la Marina 1376",37,926522663,">=35|<45"
"ObjectId(""6296b1edfc39a43814674ac7"")",1070,"Avenida Ricardo Palma 1040",45,922882192,">=45|<50"
"ObjectId(""6296b1edfc39a43814674ac8"")",1071,"Avenida Circunvalación (Lima) 632",45,969136162,">=45|<50"
"ObjectId(""6296b1edfc39a43814674ac9"")",1072,"Avenida Guardia Civil (Lima Sur) 1233",40,903072648,">=35|<45"
"ObjectId(""6296b1edfc39a43814674aca"")",1073,"Avenida Roosevelt (Lima) 223",49,919908109,">=45|<50"
"ObjectId(""6296b1edfc39a43814674acb"")",1074,"Avenida Simón Bolívar (Lima) 403",48,952233145,">=45|<50"
"ObjectId(""6296b1edfc39a43814674acc"")",1075,"Avenida Andrés Aramburú 963",36,924780174,">=35|<45"
"ObjectId(""6296b1edfc39a43814674acd"")",1076,"Avenida Arica 1195",48,961613906,">=45|<50"
"ObjectId(""6296b1edfc39a43814674ace"")",1077,"Avenida Emancipación 1207",49,944309224,">=45|<50"
"ObjectId(""6296b1edfc39a43814674acf"")",1078,"Avenida Universitaria 869",49,946321239,">=45|<50"
"ObjectId(""6296b1edfc39a43814674ad0"")",1079,"Avenida La Mar 159",49,973938026,">=45|<50"
"ObjectId(""6296b1edfc39a43814674ad1"")",1080,"Avenida Manco Cápac (Lima) 915",50,983706417,">=50"
"ObjectId(""6296b1edfc39a43814674ad2"")",1081,"Avenida Alfredo Benavides 350",45,901601503,">=45|<50"
"ObjectId(""6296b1edfc39a43814674ad3"")",1082,"Avenida Los Frutales 1017",48,972325327,">=45|<50"
"ObjectId(""6296b1edfc39a43814674ad4"")",1083,"Avenida Arica 1106",48,954205750,">=45|<50"
"ObjectId(""6296b1edfc39a43814674ad5"")",1084,"Avenida Arequipa 165",41,916973770,">=35|<45"
"ObjectId(""6296b1edfc39a43814674ad6"")",1085,"Avenida Simón Bolívar (Lima) 1105",39,904136394,">=35|<45"
"ObjectId(""6296b1edfc39a43814674ad7"")",1086,"Avenida Manuel Vivanco 765",46,992821695,">=45|<50"
"ObjectId(""6296b1edfc39a43814674ad8"")",1087,"Avenida Circunvalación (Lima) 456",47,981005351,">=45|<50"
"ObjectId(""6296b1edfc39a43814674ad9"")",1088,"Avenida Angélica Gamarra 1310",39,976848723,">=35|<45"
"ObjectId(""6296b1edfc39a43814674ada"")",1089,"Avenida Manco Cápac (Lima) 1325",45,988200313,">=45|<50"
"ObjectId(""6296b1edfc39a43814674adb"")",1090,"Avenida Inca Garcilaso de la Vega (Lima) 825",46,948351974,">=45|<50"
"ObjectId(""6296b1edfc39a43814674adc"")",1091,"Avenida Roosevelt (Lima) 781",47,990142914,">=45|<50"
"ObjectId(""6296b1edfc39a43814674add"")",1092,"Avenida Las Palmeras (Lima Norte) 461",37,915749137,">=35|<45"
"ObjectId(""6296b1edfc39a43814674ade"")",1093,"Avenida José de San Martín 710",35,905003431,">=35|<45"
"ObjectId(""6296b1edfc39a43814674adf"")",1094,"Avenida Gregorio Escobedo 1345",44,958655447,">=35|<45"
"ObjectId(""6296b1edfc39a43814674ae0"")",1095,"Avenida Abancay 281",46,987398099,">=45|<50"
"ObjectId(""6296b1edfc39a43814674ae1"")",1096,"Avenida de la Marina 718",49,924472852,">=45|<50"
"ObjectId(""6296b1edfc39a43814674ae2"")",1097,"Avenida Arenales 1141",48,909235732,">=45|<50"
"ObjectId(""6296b1edfc39a43814674ae3"")",1098,"Avenida Los Alisos 832",48,929604746,">=45|<50"
"ObjectId(""6296b1edfc39a43814674ae4"")",1099,"Avenida Bolivia (Lima) 106",47,911728493,">=45|<50"
"ObjectId(""6296b1edfc39a43814674ae5"")",1100,"Avenida Morales Duárez 158",37,961329827,">=35|<45"
"ObjectId(""6296b1edfc39a43814674ae6"")",1101,"Avenida Honorio Delgado 981",41,906550443,">=35|<45"
"ObjectId(""6296b1edfc39a43814674ae7"")",1102,"Avenida Canta Callao 110",40,966995336,">=35|<45"
"ObjectId(""6296b1edfc39a43814674ae8"")",1103,"Avenida Armendáriz 675",47,926429441,">=45|<50"
"ObjectId(""6296b1edfc39a43814674ae9"")",1104,"Avenida El Pacífico 410",42,999341394,">=35|<45"
"ObjectId(""6296b1edfc39a43814674aea"")",1105,"Avenida 28 de Julio (Lima) 1069",45,909791905,">=45|<50"
"ObjectId(""6296b1edfc39a43814674aeb"")",1106,"Avenida Fernando Terán 750",44,935369023,">=35|<45"
"ObjectId(""6296b1edfc39a43814674aec"")",1107,"Avenida Andrés Aramburú 847",44,950871349,">=35|<45"
"ObjectId(""6296b1edfc39a43814674aed"")",1108,"Avenida Bausate y Meza 515",46,979730248,">=45|<50"
"ObjectId(""6296b1edfc39a43814674aee"")",1109,"Avenida Gregorio Escobedo 736",46,901887442,">=45|<50"
"ObjectId(""6296b1edfc39a43814674aef"")",1110,"Avenida Universitaria 455",37,936010494,">=35|<45"
"ObjectId(""6296b1edfc39a43814674af0"")",1111,"Avenida Perú (Lima) 118",44,944335998,">=35|<45"
"ObjectId(""6296b1edfc39a43814674af1"")",1112,"Avenida La Mar 179",46,965099896,">=45|<50"
"ObjectId(""6296b1edfc39a43814674af2"")",1113,"Avenida Juan de Arona 216",47,988670316,">=45|<50"
"ObjectId(""6296b1edfc39a43814674af3"")",1114,"Avenida Morales Duárez 550",42,906407954,">=35|<45"
"ObjectId(""6296b1edfc39a43814674af4"")",1115,"Avenida Guardia Civil (Lima Sur) 1108",35,950799076,">=35|<45"
"ObjectId(""6296b1edfc39a43814674af5"")",1116,"Avenida Canadá 190",48,988575723,">=45|<50"
"ObjectId(""6296b1edfc39a43814674af6"")",1117,"Avenida Tingo María 960",47,992856661,">=45|<50"
"ObjectId(""6296b1edfc39a43814674af7"")",1118,"Avenida Óscar R. Benavides 1005",44,965162386,">=35|<45"
"ObjectId(""6296b1edfc39a43814674af8"")",1119,"Avenida Tingo María 504",42,936846919,">=35|<45"
"ObjectId(""6296b1edfc39a43814674af9"")",1120,"Avenida San Juan de Dios 1060",33,931568841,">=20|<35"
"ObjectId(""6296b1edfc39a43814674afa"")",1121,"Avenida Víctor Malásquez 681",38,990481897,">=35|<45"
"ObjectId(""6296b1edfc39a43814674afb"")",1122,"Avenida Reducto 602",36,920508953,">=35|<45"
"ObjectId(""6296b1edfc39a43814674afc"")",1123,"Avenida Alipio Ponce 149",44,987762425,">=35|<45"
"ObjectId(""6296b1edfc39a43814674afd"")",1124,"Avenida Nicolás Arriola 1032",44,995511081,">=35|<45"
"ObjectId(""6296b1edfc39a43814674afe"")",1125,"Avenida del Ejército 1180",45,989282376,">=45|<50"
"ObjectId(""6296b1edfc39a43814674aff"")",1126,"Avenida Caminos del Inca 1112",46,948833350,">=45|<50"
"ObjectId(""6296b1edfc39a43814674b00"")",1127,"Avenida Andrés Aramburú 907",43,924584829,">=35|<45"
"ObjectId(""6296b1edfc39a43814674b01"")",1128,"Avenida Pachacútec 1393",40,925887844,">=35|<45"
"ObjectId(""6296b1edfc39a43814674b02"")",1129,"Avenida Inca Garcilaso de la Vega (Lima) 550",41,911818286,">=35|<45"
"ObjectId(""6296b1edfc39a43814674b03"")",1130,"Avenida José Pardo (Lima) 853",48,966604182,">=45|<50"
"ObjectId(""6296b1edfc39a43814674b04"")",1131,"Avenida Óscar R. Benavides 244",48,912301807,">=45|<50"
"ObjectId(""6296b1edfc39a43814674b05"")",1132,"Avenida Gran Chimú (San Juan de Lurigancho) 913",41,934224505,">=35|<45"
"ObjectId(""6296b1edfc39a43814674b06"")",1133,"Avenida del Ejército 901",43,983123504,">=35|<45"
"ObjectId(""6296b1edfc39a43814674b07"")",1134,"Avenida de la Marina 494",35,950569701,">=35|<45"
"ObjectId(""6296b1edfc39a43814674b08"")",1135,"Avenida Túpac Amaru (Lima) 411",47,975902619,">=45|<50"
"ObjectId(""6296b1edfc39a43814674b09"")",1136,"Avenida Bausate y Meza 422",42,949981023,">=35|<45"
"ObjectId(""6296b1edfc39a43814674b0a"")",1137,"Avenida Uruguay 1044",43,994110195,">=35|<45"
"ObjectId(""6296b1edfc39a43814674b0b"")",1138,"Avenida Gran Chimú (San Juan de Lurigancho) 602",41,912141581,">=35|<45"
"ObjectId(""6296b1edfc39a43814674b0c"")",1139,"Avenida Roosevelt (Lima) 496",38,959614336,">=35|<45"
"ObjectId(""6296b1edfc39a43814674b0d"")",1140,"Avenida Tomás Marsano 718",50,982927598,">=50"
"ObjectId(""6296b1edfc39a43814674b0e"")",1141,"Avenida Juan de Arona 712",33,928996599,">=20|<35"
"ObjectId(""6296b1edfc39a43814674b0f"")",1142,"Avenida Inca Garcilaso de la Vega (Lima) 1092",48,995079156,">=45|<50"
"ObjectId(""6296b1edfc39a43814674b10"")",1143,"Avenida Angamos 865",45,934149297,">=45|<50"
"ObjectId(""6296b1edfc39a43814674b11"")",1144,"Avenida España (Lima) 833",44,902773194,">=35|<45"
"ObjectId(""6296b1edfc39a43814674b12"")",1145,"Avenida Arequipa 1159",47,964631107,">=45|<50"
"ObjectId(""6296b1edfc39a43814674b13"")",1146,"Avenida Edgardo Rebagliati 310",46,916854203,">=45|<50"
"ObjectId(""6296b1edfc39a43814674b14"")",1147,"Avenida Sucre (Lima) 683",42,945226821,">=35|<45"
"ObjectId(""6296b1edfc39a43814674b15"")",1148,"Avenida Gran Chimú (San Juan de Lurigancho) 1239",44,951493019,">=35|<45"
"ObjectId(""6296b1edfc39a43814674b16"")",1149,"Avenida Petit Thouars 675",36,937021438,">=35|<45"
"ObjectId(""6296b1edfc39a43814674b17"")",1150,"Avenida Héroes del Cenepa (San Juan de Lurigancho) 386",47,969488126,">=45|<50"
"ObjectId(""6296b1edfc39a43814674b18"")",1151,"Avenida La Molina 715",47,921842089,">=45|<50"
"ObjectId(""6296b1edfc39a43814674b19"")",1152,"Avenida Húsares de Junín (Jesús María) 817",47,982755057,">=45|<50"
"ObjectId(""6296b1edfc39a43814674b1a"")",1153,"Avenida Naranjal 1331",46,953189061,">=45|<50"
"ObjectId(""6296b1edfc39a43814674b1b"")",1154,"Avenida Los Frutales 530",42,902178645,">=35|<45"
"ObjectId(""6296b1edfc39a43814674b1c"")",1155,"Avenida Salaverry 790",45,972368616,">=45|<50"
"ObjectId(""6296b1edfc39a43814674b1d"")",1156,"Avenida Perú (Lima) 1138",42,950801603,">=35|<45"
"ObjectId(""6296b1edfc39a43814674b1e"")",1157,"Avenida Edgardo Rebagliati 752",40,918900048,">=35|<45"
"ObjectId(""6296b1edfc39a43814674b1f"")",1158,"Avenida José de San Martín 283",46,933431670,">=45|<50"
"ObjectId(""6296b1edfc39a43814674b20"")",1159,"Avenida República de Panamá 856",46,918327294,">=45|<50"
"ObjectId(""6296b1edfc39a43814674b21"")",1160,"Avenida San Luis 484",43,980280083,">=35|<45"
"ObjectId(""6296b1edfc39a43814674b22"")",1161,"Avenida Caminos del Inca 773",45,912601113,">=45|<50"
"ObjectId(""6296b1edfc39a43814674b23"")",1162,"Avenida Los Jazmines 745",48,929076836,">=45|<50"
"ObjectId(""6296b1edfc39a43814674b24"")",1163,"Avenida Pedro de Osma 705",40,984041334,">=35|<45"
"ObjectId(""6296b1edfc39a43814674b25"")",1164,"Avenida Caminos del Inca 144",39,924925013,">=35|<45"
"ObjectId(""6296b1edfc39a43814674b26"")",1165,"Avenida Angamos 1177",37,964493734,">=35|<45"
"ObjectId(""6296b1edfc39a43814674b27"")",1166,"Avenida 28 de Julio (Lima) 384",44,974908742,">=35|<45"
"ObjectId(""6296b1edfc39a43814674b28"")",1167,"Avenida José de San Martín 1132",49,985217848,">=45|<50"
"ObjectId(""6296b1edfc39a43814674b29"")",1168,"Avenida Miguel Grau (Lima) 1080",47,995438632,">=45|<50"
"ObjectId(""6296b1edfc39a43814674b2a"")",1169,"Avenida Miguel Grau (Lima) 1138",49,957833705,">=45|<50"
"ObjectId(""6296b1edfc39a43814674b2b"")",1170,"Avenida Los Conquistadores 240",37,980170262,">=35|<45"
"ObjectId(""6296b1edfc39a43814674b2c"")",1171,"Avenida Elmer Faucett 553",49,923076738,">=45|<50"
"ObjectId(""6296b1edfc39a43814674b2d"")",1172,"Avenida Iquitos 1029",47,945710852,">=45|<50"
"ObjectId(""6296b1edfc39a43814674b2e"")",1173,"Avenida Circunvalación (Lima) 148",46,901524878,">=45|<50"
"ObjectId(""6296b1edfc39a43814674b2f"")",1174,"Avenida José de San Martín 815",40,942897305,">=35|<45"
"ObjectId(""6296b1edfc39a43814674b30"")",1175,"Avenida Los Conquistadores 352",46,999707177,">=45|<50"
"ObjectId(""6296b1edfc39a43814674b31"")",1176,"Avenida Iquitos 866",48,932960625,">=45|<50"
"ObjectId(""6296b1edfc39a43814674b32"")",1177,"Avenida Iquitos 858",33,969222394,">=20|<35"
"ObjectId(""6296b1edfc39a43814674b33"")",1178,"Avenida Angélica Gamarra 421",36,930856608,">=35|<45"
"ObjectId(""6296b1edfc39a43814674b34"")",1179,"Avenida El Pacífico 260",46,967597721,">=45|<50"
"ObjectId(""6296b1edfc39a43814674b35"")",1180,"Avenida Samuel Alcázar 1067",39,902192834,">=35|<45"
"ObjectId(""6296b1edfc39a43814674b36"")",1181,"Avenida Simón Bolívar (Lima) 517",43,904486034,">=35|<45"
"ObjectId(""6296b1edfc39a43814674b37"")",1182,"Avenida Los Próceres 1100",46,996889638,">=45|<50"
"ObjectId(""6296b1edfc39a43814674b38"")",1183,"Avenida Universitaria 1049",43,973222960,">=35|<45"
"ObjectId(""6296b1edfc39a43814674b39"")",1184,"Avenida Los Frutales 1093",38,996876537,">=35|<45"
"ObjectId(""6296b1edfc39a43814674b3a"")",1185,"Avenida Alfonso Ugarte 1358",50,984538692,">=50"
"ObjectId(""6296b1edfc39a43814674b3b"")",1186,"Avenida Gálvez Barrenechea 958",47,953973982,">=45|<50"
"ObjectId(""6296b1edfc39a43814674b3c"")",1187,"Avenida República de Panamá 1076",45,970125048,">=45|<50"
"ObjectId(""6296b1edfc39a43814674b3d"")",1188,"Avenida Húsares de Junín (Jesús María) 888",47,919410796,">=45|<50"
"ObjectId(""6296b1edfc39a43814674b3e"")",1189,"Avenida Alfonso Ugarte 799",42,963084132,">=35|<45"
"ObjectId(""6296b1edfc39a43814674b3f"")",1190,"Avenida La Molina 1364",42,903871979,">=35|<45"
"ObjectId(""6296b1edfc39a43814674b40"")",1191,"Avenida Inca Garcilaso de la Vega (Lima) 975",41,909397363,">=35|<45"
"ObjectId(""6296b1edfc39a43814674b41"")",1192,"Avenida Cuba 693",48,910199376,">=45|<50"
"ObjectId(""6296b1edfc39a43814674b42"")",1193,"Avenida José Larco 892",44,908096520,">=35|<45"
"ObjectId(""6296b1edfc39a43814674b43"")",1194,"Avenida Honorio Delgado 951",44,915552722,">=35|<45"
"ObjectId(""6296b1edfc39a43814674b44"")",1195,"Avenida Petit Thouars 1248",39,917147839,">=35|<45"
"ObjectId(""6296b1edfc39a43814674b45"")",1196,"Avenida Fray Bartolomé de las Casas 731",43,994971444,">=35|<45"
"ObjectId(""6296b1edfc39a43814674b46"")",1197,"Avenida Gregorio Escobedo 886",45,965240675,">=45|<50"
"ObjectId(""6296b1edfc39a43814674b47"")",1198,"Avenida Gran Chimú (San Juan de Lurigancho) 145",43,923011324,">=35|<45"
"ObjectId(""6296b1edfc39a43814674b48"")",1199,"Avenida Mariano Cornejo 612",48,989740140,">=45|<50"
"ObjectId(""6296b1edfc39a43814674b49"")",1200,"Avenida Brasil (Lima) 405",48,908054956,">=45|<50"
"ObjectId(""6296b1edfc39a43814674b4a"")",1201,"Avenida Miguel Grau (Lima) 1006",42,970597111,">=35|<45"
"ObjectId(""6296b1edfc39a43814674b4b"")",1202,"Avenida Próceres de la Independencia 437",41,939983057,">=35|<45"
"ObjectId(""6296b1edfc39a43814674b4c"")",1203,"Avenida Las Palmeras (Lima Norte) 1109",40,913481566,">=35|<45"
"ObjectId(""6296b1edfc39a43814674b4d"")",1204,"Avenida Domingo Orué 494",47,977977807,">=45|<50"
"ObjectId(""6296b1edfc39a43814674b4e"")",1205,"Avenida Los Héroes (San Juan de Miraflores) 164",50,900132504,">=50"
"ObjectId(""6296b1edfc39a43814674b4f"")",1206,"Avenida Roosevelt (Lima) 821",48,927227671,">=45|<50"
"ObjectId(""6296b1edfc39a43814674b50"")",1207,"Avenida Antúnez de Mayolo 1394",47,928477552,">=45|<50"
"ObjectId(""6296b1edfc39a43814674b51"")",1208,"Avenida Óscar R. Benavides 414",45,934652623,">=45|<50"
"ObjectId(""6296b1edfc39a43814674b52"")",1209,"Avenida Roosevelt (Lima) 985",40,953309721,">=35|<45"
"ObjectId(""6296b1edfc39a43814674b53"")",1210,"Avenida Naranjal 186",41,970665504,">=35|<45"
"ObjectId(""6296b1edfc39a43814674b54"")",1211,"Avenida Petit Thouars 924",49,954386484,">=45|<50"
"ObjectId(""6296b1edfc39a43814674b55"")",1212,"Avenida Pachacútec 951",47,999907906,">=45|<50"
"ObjectId(""6296b1edfc39a43814674b56"")",1213,"Avenida España (Lima) 662",48,917399383,">=45|<50"
"ObjectId(""6296b1edfc39a43814674b57"")",1214,"Avenida Las Palmeras (Lima Norte) 1012",49,947679901,">=45|<50"
"ObjectId(""6296b1edfc39a43814674b58"")",1215,"Avenida Argentina (Lima) 253",50,971734727,">=50"
"ObjectId(""6296b1edfc39a43814674b59"")",1216,"Avenida Iquitos 1030",31,925603793,">=20|<35"
"ObjectId(""6296b1edfc39a43814674b5a"")",1217,"Avenida Iquitos 684",46,943591172,">=45|<50"
"ObjectId(""6296b1edfc39a43814674b5b"")",1218,"Avenida Tingo María 1094",39,928825266,">=35|<45"
"ObjectId(""6296b1edfc39a43814674b5c"")",1219,"Avenida José de San Martín 975",49,912903988,">=45|<50"
"ObjectId(""6296b1edfc39a43814674b5d"")",1220,"Avenida Emancipación 119",48,937491886,">=45|<50"
"ObjectId(""6296b1edfc39a43814674b5e"")",1221,"Avenida Alipio Ponce 274",49,918211193,">=45|<50"
"ObjectId(""6296b1edfc39a43814674b5f"")",1222,"Avenida Juan Pardo de Zela 1292",46,909198921,">=45|<50"
"ObjectId(""6296b1edfc39a43814674b60"")",1223,"Avenida Gran Chimú (San Juan de Lurigancho) 1315",46,973268421,">=45|<50"
"ObjectId(""6296b1edfc39a43814674b61"")",1224,"Avenida Los Conquistadores 1183",48,949147503,">=45|<50"
"ObjectId(""6296b1edfc39a43814674b62"")",1225,"Avenida Defensores del Morro 899",43,920932552,">=35|<45"
"ObjectId(""6296b1edfc39a43814674b63"")",1226,"Avenida Paseo de la República 328",45,958705373,">=45|<50"
"ObjectId(""6296b1edfc39a43814674b64"")",1227,"Avenida Petit Thouars 214",44,948547235,">=35|<45"
"ObjectId(""6296b1edfc39a43814674b65"")",1228,"Avenida Húsares de Junín (Jesús María) 1327",40,932493838,">=35|<45"
"ObjectId(""6296b1edfc39a43814674b66"")",1229,"Avenida Alfredo Benavides 118",49,960385993,">=45|<50"
"ObjectId(""6296b1edfc39a43814674b67"")",1230,"Avenida Roosevelt (Lima) 1162",40,950557356,">=35|<45"
"ObjectId(""6296b1edfc39a43814674b68"")",1231,"Avenida Elmer Faucett 748",40,921550086,">=35|<45"
"ObjectId(""6296b1edfc39a43814674b69"")",1232,"Avenida Elmer Faucett 378",48,923419027,">=45|<50"
"ObjectId(""6296b1edfc39a43814674b6a"")",1233,"Avenida Eduardo de Habich 466",48,953290836,">=45|<50"
"ObjectId(""6296b1edfc39a43814674b6b"")",1234,"Avenida Canaval y Moreyra 384",47,903688008,">=45|<50"
